年份,领域,新增企业数量,注销企业数量,净增长企业数量,累计存活企业数量
2008,数据服务,7,0,7,19
2008,深度学习,1,0,1,2
2008,人工智能硬件开发,0,0,0,0
2008,自然语言处理,0,0,0,0
2008,云计算,0,0,0,0
2008,大数据分析,0,0,0,3
2008,大数据模型,0,0,0,0
2008,计算机视觉,0,0,0,0
2008,智能系统（智能+）,0,0,0,0
2009,软件开发,3600,1,3599,18702
2009,半导体,98,0,98,451
2009,机器人,1215,0,1215,6283
2009,物联网,23,0,23,116
2009,数据服务,4,0,4,23
2009,深度学习,0,0,0,2
2009,人工智能硬件开发,0,0,0,0
2009,自然语言处理,0,0,0,0
2009,云计算,0,0,0,0
2009,大数据分析,0,0,0,3
2009,大数据模型,0,0,0,0
2009,计算机视觉,0,0,0,0
2009,智能系统（智能+）,0,0,0,0
2010,软件开发,4411,1,4410,23112
2010,机器人,1571,1,1570,7853
2010,半导体,130,0,130,581
2010,物联网,20,0,20,136
2010,数据服务,7,0,7,30
2010,自然语言处理,1,0,1,1
2010,大数据分析,1,0,1,4
2010,深度学习,0,0,0,2
2010,人工智能硬件开发,0,0,0,0
2010,云计算,0,0,0,0
2010,大数据模型,0,0,0,0
2010,计算机视觉,0,0,0,0
2010,智能系统（智能+）,0,0,0,0
2011,软件开发,5339,1,5338,28450
2011,机器人,1830,2,1828,9681
2011,半导体,139,0,139,720
2011,物联网,32,0,32,168
2011,数据服务,3,0,3,33
2011,深度学习,1,0,1,3
2011,大数据分析,0,1,-1,3
2011,人工智能硬件开发,0,0,0,0
2011,自然语言处理,0,0,0,1
2011,云计算,0,0,0,0
2011,大数据模型,0,0,0,0
2011,计算机视觉,0,0,0,0
2011,智能系统（智能+）,0,0,0,0
2012,软件开发,5866,0,5866,34316
2012,机器人,1947,0,1947,11628
2012,半导体,155,0,155,875
2012,物联网,43,0,43,211
2012,数据服务,8,0,8,41
2012,大数据分析,1,0,1,4
2012,深度学习,0,0,0,3
2012,人工智能硬件开发,0,0,0,0
2012,自然语言处理,0,0,0,1
2012,云计算,0,0,0,0
2012,大数据模型,0,0,0,0
2012,计算机视觉,0,0,0,0
2012,智能系统（智能+）,0,0,0,0
2013,软件开发,7923,0,7923,42239
2013,机器人,2715,2,2713,14341
2013,半导体,220,0,220,1095
2013,数据服务,14,0,14,55
2013,物联网,79,0,79,290
2013,大数据分析,6,0,6,10
2013,深度学习,1,0,1,4
2013,人工智能硬件开发,0,0,0,0
2013,自然语言处理,0,0,0,1
2013,云计算,0,0,0,0
2013,大数据模型,0,0,0,0
2013,计算机视觉,0,0,0,0
2013,智能系统（智能+）,0,0,0,0
2014,软件开发,14762,0,14762,57001
2014,机器人,4572,3,4569,18910
2014,半导体,357,0,357,1452
2014,物联网,142,0,142,432
2014,数据服务,22,0,22,77
2014,大数据分析,5,0,5,15
2014,深度学习,2,0,2,6
2014,人工智能硬件开发,0,0,0,0
2014,自然语言处理,0,0,0,1
2014,云计算,0,0,0,0
2014,大数据模型,0,0,0,0
2014,计算机视觉,0,0,0,0
2014,智能系统（智能+）,0,0,0,0
2015,软件开发,18256,1,18255,75256
2015,机器人,5611,7,5604,24514
2015,半导体,390,0,390,1842
2015,数据服务,37,0,37,114
2015,物联网,171,2,169,601
2015,大数据分析,10,0,10,25
2015,深度学习,3,0,3,9
2015,人工智能硬件开发,0,0,0,0
2015,自然语言处理,0,0,0,1
2015,云计算,0,0,0,0
2015,大数据模型,0,0,0,0
2015,计算机视觉,0,0,0,0
2015,智能系统（智能+）,0,0,0,0
2016,软件开发,22781,5,22776,98032
2016,机器人,7166,22,7144,31658
2016,半导体,532,0,532,2374
2016,物联网,234,4,230,831
2016,数据服务,49,1,48,162
2016,大数据分析,15,0,15,40
2016,深度学习,2,0,2,11
2016,人工智能硬件开发,0,0,0,0
2016,自然语言处理,0,0,0,1
2016,云计算,0,0,0,0
2016,大数据模型,0,0,0,0
2016,计算机视觉,0,0,0,0
2016,智能系统（智能+）,0,0,0,0
2017,软件开发,27654,35,27619,125651
2017,机器人,9013,84,8929,40587
2017,半导体,622,0,622,2996
2017,数据服务,143,3,140,302
2017,物联网,373,16,357,1188
2017,大数据分析,37,0,37,77
2017,深度学习,12,0,12,23
2017,人工智能硬件开发,0,0,0,0
2017,自然语言处理,0,0,0,1
2017,云计算,0,0,0,0
2017,大数据模型,0,0,0,0
2017,计算机视觉,0,0,0,0
2017,智能系统（智能+）,0,0,0,0
2018,软件开发,35508,558,34950,160601
2018,机器人,12478,306,12172,52759
2018,半导体,752,4,748,3744
2018,数据服务,242,13,229,531
2018,物联网,658,47,611,1799
2018,大数据分析,41,4,37,114
2018,深度学习,19,9,10,33
2018,人工智能硬件开发,0,0,0,0
2018,自然语言处理,0,0,0,1
2018,云计算,0,0,0,0
2018,大数据模型,0,0,0,0
2018,计算机视觉,0,0,0,0
2018,智能系统（智能+）,0,0,0,0
2019,软件开发,49233,1769,47464,208065
2019,机器人,15741,824,14917,67676
2019,半导体,870,26,844,4588
2019,大数据分析,58,12,46,160
2019,物联网,986,153,833,2632
2019,数据服务,288,54,234,765
2019,深度学习,45,24,21,54
2019,自然语言处理,2,0,2,3
2019,人工智能硬件开发,0,0,0,0
2019,云计算,0,0,0,0
2019,大数据模型,0,0,0,0
2019,计算机视觉,0,0,0,0
2019,智能系统（智能+）,0,0,0,0
2020,软件开发,121118,7469,113649,321714
2020,机器人,33211,1943,31268,98944
2020,数据服务,186,45,141,906
2020,大数据分析,66,10,56,216
2020,半导体,1802,52,1750,6338
2020,物联网,982,228,754,3386
2020,深度学习,10,6,4,58
2020,自然语言处理,0,1,-1,2
2020,人工智能硬件开发,0,0,0,0
2020,云计算,0,0,0,0
2020,大数据模型,0,0,0,0
2020,计算机视觉,0,0,0,0
2020,智能系统（智能+）,0,0,0,0
2021,软件开发,224384,25932,198452,520166
2021,机器人,51562,5047,46515,145459
2021,大数据分析,25,11,14,230
2021,半导体,3709,196,3513,9851
2021,数据服务,100,72,28,934
2021,物联网,420,200,220,3606
2021,深度学习,0,3,-3,55
2021,人工智能硬件开发,0,0,0,0
2021,自然语言处理,0,0,0,2
2021,云计算,0,0,0,0
2021,大数据模型,0,0,0,0
2021,计算机视觉,0,0,0,0
2021,智能系统（智能+）,0,0,0,0
2022,软件开发,259241,42091,217150,737316
2022,机器人,54286,8473,45813,191272
2022,半导体,3959,440,3519,13370
2022,大数据分析,5,11,-6,224
2022,物联网,6,151,-145,3461
2022,数据服务,8,43,-35,899
2022,深度学习,0,8,-8,47
2022,人工智能硬件开发,0,0,0,0
2022,自然语言处理,0,0,0,2
2022,云计算,0,0,0,0
2022,大数据模型,0,0,0,0
2022,计算机视觉,0,0,0,0
2022,智能系统（智能+）,0,0,0,0
2023,软件开发,323974,60375,263599,1000915
2023,机器人,67766,11607,56159,247431
2023,半导体,4853,594,4259,17629
2023,物联网,1,132,-131,3330
2023,数据服务,1,47,-46,853
2023,大数据分析,1,13,-12,212
2023,深度学习,0,7,-7,40
2023,人工智能硬件开发,0,0,0,0
2023,自然语言处理,0,0,0,2
2023,云计算,0,0,0,0
2023,大数据模型,0,0,0,0
2023,计算机视觉,0,0,0,0
2023,智能系统（智能+）,0,0,0,0
2024,软件开发,312044,89604,222440,1223355
2024,机器人,66764,17497,49267,296698
2024,半导体,4158,1054,3104,20733
2024,数据服务,0,50,-50,803
2024,物联网,0,177,-177,3153
2024,深度学习,0,4,-4,36
2024,大数据分析,0,19,-19,193
2024,人工智能硬件开发,0,0,0,0
2024,自然语言处理,0,0,0,2
2024,云计算,0,0,0,0
2024,大数据模型,0,0,0,0
2024,计算机视觉,0,0,0,0
2024,智能系统（智能+）,0,0,0,0
